,"* It appears natural to say that the ‘causal’ role played in the world by each particular is defined as soon as that particular exists. However, if such a causal role is everything that is required to establish whether the particular is or is not similar to another particular, it follows that the existence of the particular (as the particular with such and such qualitative/causal features) is sufficient for establishing facts of similarity or dissimilarity.  (Morganti)",,
,,,
0,co^ b has-c-r causal role c,,
,Causal role c is-g not a-r property-n,,
,,,
,"* Universals are real entities, but they do not have to be, in fact cannot be distinct from their instances. (Morganti)",,
,,,
1,co^ A universal is-r not distinct from its-a instance,,
,,,
2,co^ There is-e a universal which is-r not distinct from its-b instances,,
,,,
3,co^ The concept-n cat is-g itself-r a-r cat,,
,,,
,"* We can never, to take a crude example, decide by means of our definitions whether any concept has the number Julius Caesar belonging to it, or whether that same familiar conqueror of Gaul is a number or is not. - Frege [1980, §56]",,
,,,
4,co^ Julius Caesar is-g a-r number-i,,
,,,
,"* Zalta wrote: Categories hardly ever share crucial properties with the objects categorised. The category of redness is not red, the notion of foreignness is not foreign, the notion of length is not long. [Zalta 420] ",,
,,,
5,co^ The-r property-n redness is-a red,,
,,,
6,co^ There is-e a region-a which is-g not a group of-i points,,
,,,
7,co^ There is-e a moment which does not exist in-b time,,
,,,
8,co^ Some-p minds do not think something,,
,,,
9,co^ A group does not have-w any-n members,,
,,,
10,co^ 2 is-g not a-r number-i,,
,,,
11,co^ A region-a is-g not a group of-i points,,
,,,
,* The following demonstrate an understanding of the word 'concept',,
,,,
12,co^ Dog is-g not a-r concept-n,,
,,,
13,co^ Point is-g a-r partially material-a concept-n,,
,,,
14,co^ This dog is-g a-r concept-n,,
,,,
,* The following demonstrates an understanding of the word 'material-c' when it is used as a property of a concept,,
,,,
15,co^ Thought is-g a-r partially material-a concept-n,,
,,,
16,co^ Something exists inside of-r a point,,
,,,
17,co^ Doglike is-g not a-r partially material-a concept-a,,
,,,
18,co^ No-s mind thinks something-a,,
,,,
19,co^ There is-e a point which thinks thoughts,,
,,,
20,co^ There is-e a point which is-a physical,,
,,,
21,co^ There is-e a number-i which smells,,
,,,
22,co^ There is-e a thought which is-a not mental-b,,
,,,
23,co^ There is-e a thought which is-g a-r moment,,
,,,
24,co^ There is-e a thought which thinks something,,
,,,
25,co^ There is-e a mind which does not think anything-a,,
,,,
26,co^ There is-e a thought which smells,,
,,,
27,co^ There is-e a thought which desires something,,
,,,
28,co^ There is-e a mind which is-a not mental,,
,,,
29,co^ There is-e a thought which is-g a-r group,,
,,,
30,co^ There is-e a number-i which is-a physical,,
,,,
31,co^ There is-e a mind which smells,,
,,,
32,co^ There is-e a point which smells,,
,,,
33,co^ There is-e a mind which thinks no thoughts,,
,,,
34,co^ There is-e a thought which is-a physical,,
,,,
35,co^ There is-e a moment which is-a physical,,
,,,
36,co^ JFK is-g a-r kennedy,,
,JFK is-g not part-f of the kennedy-a family,,
,,,
,* Class A is included in Class B may be rephrased as: Everything that is an A is a B. (Quine and Goodman),,
,,,
37,co^ Something is-g a-r b,,
,b is-g not a-r class,,
,,,
,"* In: ""There are more age_classes than grade_classes in the White School."" We just replace this by: ""There are more age_wholes than grade_wholes in the White School, where an age_whole is the individual composed of all pupils in the school who were born during a single calendar year, and a grade_whole is an individual composed of all pupils who receive equally advanced instruction."" (Quine and Goodman)",,
,"* EXP: I have never seen the word 'whole' used by the layman or a philosopher in the way Quine does.  The difference between a whole and a concept is that in the sentence ""I belong to whole b"" I cannot infer ""I am a b"" whereas from ""I belong to concept b"" I can infer that ""I am a b"".  In elementary school when we were put into classes we could say ""I am a 4th grader"".  In the lower grades we even gave the classes names like 'tiger' and we could say ""I am a tiger"".  So when Quine says ""there are more age_wholes than grade_wholes in the white school"" he is using 'whole' in the sense of 'class'.",,
,,,
38,co^ There is-e a whole-c which is-g an-r individual,,
,,,
,"* On the other hand, there are wholes which are individuals, namely me, since I am composed of myriads of atoms which form the whole which is my body and I am an individual human being.",,
,,,
39,There is-e a whole which is-g an-r individual,,
,,,
,"* Below, 'point-a' refers to a literal point rather than a conclusion or an important stantement.",,
,,,
,* The following are easy words found in trivial sentences,,
,,,
40,co^ I have a point,,
,,,
41,co^ Every part-p of the large house is-a white,,
,The door is-g a-r part-p of the large house,,
,The door is-a not white,,
,,,
42,co^ I saw everyone who drank something-a in the van,,
,Leibniz drank something in the van,,
,I did not see Leibniz,,
,,,
43,co^ I love nothing which is-r about murder,,
,Hamlet is-r about murder,,
,I love Hamlet,,
,,,
44,co^ I love anything which is-r about logic,,
,Set Theory is-r about logic,,
,I do not love set theory,,
,,,
,* The following demonstrate an understanding of sameness,,
,,,
45,co^ Plato has-t the same teacher as Xenothon,,
,That-d teacher is Socrates,,
,Socrates does not teach Xenothon,,
,,,
46,co^ Plato has-t the same teacher as Xenothon,,
,Xenothon does not-i have-t a teacher,,
,,,
47,co^ I saw the same movie as you,,
,That-d movie was Casablanca,,
,I did not see Casablanca,,
,,,
48,co^ Leibniz and-c aristotle ate from the same cake,,
,This-n was that-d cake,,
,Leibniz did not eat from this-n,,
,,,
,* When adjectives fall under the scop of a universal quantifier then they must be defined at the same time as the quantifier,,
,,,
49,"co^ No-s green man from-b cold mars, lives on-r Earth",,
,Jim is-g a-r green man born on-r Mars,,
,Jim lives on-r Earth,,
,,,
50,co^ Every green man from-b Mars drinks,,
,Jim is-g a-r green man born on-r Mars,,
,Jim does not drink,,
,,,
51,co^ Every boy kissed every girl,,
,Jim is-g a-r boy,,
,Jessica is-g a-r girl,,
,Jim did not kiss Jessica,,
,,,
52,"co^ Everyone who spies on Leibniz, will-r be-a rewarded",,
,Russell spied on Leibniz,,
,Russell was-a not rewarded,,
,,,
53,"co^ Everyone who spies on a-a nazi in Munich, will-r be-a rewarded",,
,Russell spied on a nazi in Munich,,
,Russell was-a not rewarded,,
,,,
54,"co^ Anyone who breaks the speed limit, will-r be-a caught",,
,Marilyn broke the speed limit,,
,Marilyn was-a not caught,,
,,,
55,co^ I did not shed a tear,,
,I shed some-p tears,,
,,,
56,co^ The door is-a not large,,
,The door which is-a green is-a large,,
,,,
,* The following demonstrate an ability to use the 'and-c' coordinator,,
,,,
57,If Leibniz and-c Aristotle studied logic then Leibniz studied logic,,
,,,
58,co^ I did not shed any-n tears,,
,I shed a tear,,
,,,
59,co^ Every woman at-p the party drank,,
,Jessica was-r at-p the party,,
,Jessica is-g a-r woman,,
,Jessica did not drink,,
,,,
60,co^ Every woman at-p the party drank,,
,Jessica was-g a-r woman at-p the party,,
,Jessica did not drink,,
,,,
61,co^ No-s part-p of the large house is-a white,,
,The door is-g a-r part-p of the large house,,
,The door is-a white,,
,,,
62,co^ I love everyone who reads Leibniz,,
,Russell reads Leibniz,,
,I do not love Russell,,
,,,
63,co^ I saw the man who drank some-p beers at-p the party,,
,No-s one-p drank some-p beers at-p the party,,
,,,
64,co^ Russell is-g not a-r man,,
,,,
